Image,Model,Price,Gender,Peso Hombre,Peso Mujer,Drop,Amortiguación,Constitución,Pisada,Superficie,Uso,Ritmo,Pie,Apoyo,Distancia,Año,URL
https://static.runnea.com/images/202301/asics-jolt-4-zapatillas-running-400x400x90xX.jpg?1,ASICS Jolt 4,"40,00 €","Hombre, Mujer",268 gr,10 mm,Neutro,"Delgada, Medio",Neutro,Asfalto,Entrenamiento,Bajo,Normal,"Corto, 10K",2023,,,
https://static.runnea.com/images/202210/puma-deviate-nitro-2-zapatillas-running-400x400x80xX.jpg?1,Puma Deviate Nitro 2,"89,95 €","Hombre, Mujer",257 gr,232 gr,6 mm,Neutro,"Delgada, Medio",Neutro,Asfalto,"Entrenamiento, Competición",Alto,Placa de carbono,Normal,Punta,"Corto, 10K, Media maratón, Maratón",Unknown
https://static.runnea.com/images/202302/asics-gel-trabuco-11-zapatillas-running-400x400x90xX.jpg?1,ASICS Gel Trabuco 11,"95,99 €","Hombre, Mujer",295 gr,8 mm,Alto,"Medio, Fuerte",Neutro,Trail,"Entrenamiento, Competición",Medio,Normal,Talón,"Corto, 10K, Media maratón, Maratón, ultra-trail",Material reciclado,2023,
https://static.runnea.com/images/202210/hoka-clifton-8-zapatillas-running-400x400x80xX-2.jpg?1,HOKA Clifton 8,"101,50 €","Hombre, Mujer",250 gr,215 gr,5 mm,Alto,"Medio, Fuerte",Neutro,Asfalto,Entrenamiento,Medio,Normal,Talón,"10K, Media maratón, Maratón",2021,
https://static.runnea.com/images/202306/asics-gel-nimbus-24-zapatillas-running-400x400x90xX.jpg?1,ASICS Gel Nimbus 24,"114,01 €","Hombre, Mujer",309 gr,270 gr,10 mm,Alto,"Medio, Fuerte","Pronador, Neutro",Asfalto,Entrenamiento,Bajo,Normal,Talón,"Media maratón, Maratón",Material reciclado,Unknown
https://static.runnea.com/images/202212/adidas-solarglide-6-zapatillas-running-400x400x100xX.jpg?1,Adidas Solarglide 6,"75,90 €","Hombre, Mujer",322 gr,273 gr,10 mm,Alto,"Medio, Fuerte",Neutro,Asfalto,Entrenamiento,"Bajo, Medio",Normal,Talón,"Corto, 10K, Media maratón, Maratón",Material reciclado,Unknown
Unknow,Unknow,Unknow,,,,,,,,,,,,,,,Unknown
Unknow,Unknow,Unknow,,,,,,,,,,,,,,,Unknown
Unknow,Unknow,Unknow,,,,,,,,,,,,,,,Unknown
Unknow,Unknow,Unknow,,,,,,,,,,,,,,,Unknown
Unknow,HOKA Clifton 9,"150,00 €","Hombre, Mujer","275 (9,5 US)",225 (7 US),5 mm,"Neutro, Alto","Delgada, Medio","Neutro, Supinador",Asfalto,Entrenamiento,"Medio, Alto","Cavo, Normal","Punta, Talón","Corto, 10K, Media maratón, Maratón",2023,
Unknow,ASICS Nimbus 25,"200,00 €","Hombre, Mujer",289 gr,227 gr,8 mm,Alto,"Medio, Fuerte",Neutro,Asfalto,Entrenamiento,"Bajo, Medio",Normal,Talón,"10K, Media maratón, Maratón","Material reciclado, Sostenibles en CO2",Unknown
Unknow,Nike Pegasus 40,"129,99 €","Hombre, Mujer",274 gr,233 gr,10 mm,Neutro,Medio,Neutro,Asfalto,Entrenamiento,Medio,Normal,Talón,"Corto, 10K, Media maratón, Maratón",2023,
Unknow,New Balance Fresh Foam X 1080 v12,"180,00 €","Hombre, Mujer",292 gr,234 gr,8 mm,Alto,Medio,Neutro,Asfalto,Entrenamiento,"Bajo, Medio",Normal,Talón,"10K, Media maratón, Maratón",Material reciclado,Unknown
Unknow,ASICS Novablast 3,"150,00 €","Hombre, Mujer",252 gr,8 mm,Alto,Medio,Neutro,Asfalto,Entrenamiento,"Bajo, Medio",Normal,Talón,"10K, Media maratón, Maratón",2022,,
Unknow,Adidas Adizero Boston 12,"160,00 €","Hombre, Mujer",267 gr,227 gr,7 mm,Neutro,"Delgada, Medio",Neutro,Asfalto,"Entrenamiento, Competición",Alto,Normal,Punta,"Corto, 10K, Media maratón, Maratón",Material reciclado,Unknown
Unknow,Nike Pegasus 39,"119,99 €","Hombre, Mujer",270 gr,230 gr,10 mm,Neutro,"Delgada, Medio",Neutro,Asfalto,"Entrenamiento, Competición","Medio, Alto",Normal,Talón,"Corto, 10K, Media maratón, Maratón",2021,
Unknow,HOKA Speedgoat 5,"150,00 €","Hombre, Mujer",292 gr,5 mm,Alto,"Delgada, Medio",Neutro,Trail,Entrenamiento,"Medio, Alto",Normal,Talón,"Maratón, ultra-trail",Veganas,2021,
